,Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Ef_pred,Facies_pred,Env_pred
170,4695.0,B-1,Vulcan Fm,59.7085,1.4577,1.409,45.7,2.6142,96.8397,,2,1,2
171,4695.5,B-1,Vulcan Fm,64.7305,1.4294,1.4311,43.75,2.6267,99.0562,,2,1,2
172,4696.0,B-1,Vulcan Fm,42.7387,1.357,1.298,40.66,2.6304,104.8555,,2,1,2
173,4696.5,B-1,Vulcan Fm,44.1055,1.3942,1.2251,42.74,2.6878,99.16,,2,1,2
174,4697.0,B-1,Vulcan Fm,48.3953,1.1424,1.0932,40.14,2.7199,103.4532,,2,1,2
175,4697.5,B-1,Vulcan Fm,51.9009,1.0251,0.9535,37.57,2.7427,106.6365,,2,1,2
176,4698.0,B-1,Vulcan Fm,53.5029,0.8942,0.722,36.84,2.7194,97.0626,,2,1,2
177,4698.5,B-1,Vulcan Fm,55.4338,0.9349,0.7597,35.24,2.7076,78.1701,,2,1,2
178,4699.0,B-1,Vulcan Fm,50.8321,0.8448,0.7729,33.11,2.7466,72.6187,,2,1,2
179,4699.5,B-1,Vulcan Fm,50.3906,0.7884,0.7855,38.48,2.6993,75.8765,,2,1,2
180,4700.0,B-1,Vulcan Fm,53.5332,0.7492,0.7381,33.27,2.7260000000000004,71.9871,,2,1,2
181,4700.5,B-1,Vulcan Fm,52.1049,0.7633,0.7196,38.35,2.7336,59.8801,,2,1,2
182,4701.0,B-1,Vulcan Fm,54.775,0.7824,0.7936,37.34,2.7260000000000004,58.8594,,2,1,2
183,4701.5,B-1,Vulcan Fm,49.6523,0.8249,0.8497,30.91,2.7060000000000004,58.5711,,2,5,2
184,4702.0,B-1,Vulcan Fm,63.6158,0.9383,0.9219,28.75,2.6994,53.3629,,2,5,5
185,4702.5,B-1,Vulcan Fm,45.8812,1.0912,0.9496,28.75,2.6210000000000004,66.3935,,2,1,2
186,4703.0,B-1,Vulcan Fm,49.7697,2.9572,2.1785,26.54,2.7012,61.9486,,2,5,2
187,4703.5,B-1,Vulcan Fm,19.5178,5.3987,5.3512,19.01,2.6671,63.3698,,2,1,2
188,4704.0,B-1,Vulcan Fm,27.6544,31.7046,12.7109,12.96,2.6852,59.0047,,3,1,2
189,4704.5,B-1,Vulcan Fm,23.8833,48.8977,43.6836,12.88,2.7581,57.2189,,4,1,2
190,4705.0,B-1,Vulcan Fm,26.3974,31.4848,33.0429,13.37,2.7157,61.3988,,4,1,2
191,4705.5,B-1,Vulcan Fm,27.6923,148.4372,58.732,12.66,2.7519,91.3576,,2,1,2
192,4706.0,B-1,Vulcan Fm,25.7689,213.3064,91.7544,13.54,2.7234,93.1954,,2,1,2
193,4706.5,B-1,Vulcan Fm,16.387,419.9615,183.2376,12.13,2.7009,105.1607,,2,1,2
194,4707.0,B-1,Vulcan Fm,30.796999999999997,736.4501,433.2376,10.08,2.7337,87.0869,,2,1,2
195,4707.5,B-1,Vulcan Fm,18.6284,227.1684,76.0784,13.23,2.7694,93.4767,,2,1,2
196,4708.0,B-1,Vulcan Fm,22.6688,114.6205,12.3505,12.11,2.7594,93.9214,,2,1,2
197,4708.5,B-1,Vulcan Fm,47.2518,30.4795,9.0004,16.36,2.7766,93.09200000000001,,2,1,2
198,4709.0,B-1,Vulcan Fm,43.3531,3.6711,3.8593,27.46,2.6601,86.5305,,3,1,4
199,4709.5,B-1,Vulcan Fm,39.5961,1.4119,1.3361,33.74,2.616,87.0269,,2,1,2
200,4710.0,B-1,Vulcan Fm,45.9721,1.0354,1.0424,35.94,2.7122,86.2391,,2,1,2
201,4710.5,B-1,Vulcan Fm,39.6756,1.45,1.4118,33.04,2.5904,91.88,,2,1,2
202,4711.0,B-1,Vulcan Fm,33.311,1.3158,1.2485,35.44,2.583,90.9258,,2,1,2
203,4711.5,B-1,Vulcan Fm,35.2479,1.9498,1.6849,33.87,2.5447,88.4286,,2,1,2
204,4712.0,B-1,Vulcan Fm,34.0077,2.1939,1.8098,45.31,2.6874,89.0264,,4,1,2
205,4712.5,B-1,Vulcan Fm,41.565,1.3979,1.2403,38.33,2.5952,90.2477,,2,1,2
206,4713.0,B-1,Vulcan Fm,33.9516,1.3913,1.2526,38.99,2.5922,94.0447,,2,1,2
207,4713.5,B-1,Vulcan Fm,28.2829,1.557,1.3791,38.82,2.6887,103.9394,,2,1,2
208,4714.0,B-1,Vulcan Fm,37.7106,1.3419999999999999,1.2221,37.72,2.5552,84.1833,,2,1,2
209,4714.5,B-1,Vulcan Fm,50.3528,1.588,1.4983,36.92,2.583,85.75299999999999,,2,1,2
210,4715.0,B-1,Vulcan Fm,40.8532,1.2874,1.2702,37.72,2.5971,77.8362,,2,1,2
211,4715.5,B-1,Vulcan Fm,35.8677,0.9132,0.8919,37.3,2.5357,78.0152,,2,1,2
212,4716.0,B-1,Vulcan Fm,26.57,2.3916,1.9777,30.31,2.5579,83.9528,,2,1,2
213,4716.5,B-1,Vulcan Fm,42.5448,3.7206,3.0464,29.62,2.6955,99.44200000000001,,2,1,4
214,4717.0,B-1,Vulcan Fm,39.3162,2.8697,2.988,28.69,2.6791,99.3005,,2,1,4
215,4717.5,B-1,Vulcan Fm,41.2462,3.4744,3.0223,24.99,2.718,99.8366,,2,1,4
216,4718.0,B-1,Vulcan Fm,50.5556,2.7369,3.0278,32.9,2.8031,98.5753,,4,2,2
217,4718.5,B-1,Vulcan Fm,55.3417,0.8878,0.925,38.54,2.6627,98.3889,,2,1,2
218,4719.0,B-1,Vulcan Fm,52.1058,0.9286,0.8806,39.24,2.56,99.0403,,2,1,2
219,4719.5,B-1,Vulcan Fm,52.9804,0.8632,0.8032,37.39,2.7218,101.9028,,2,1,2
220,4720.0,B-1,Vulcan Fm,42.6026,0.8778,0.8144,36.0,2.6374,106.2105,,2,1,2
221,4720.5,B-1,Vulcan Fm,50.3624,0.8497,0.7863,29.63,2.7003,106.8229,,2,1,2
222,4721.0,B-1,Vulcan Fm,45.0081,0.7996,0.7521,34.98,2.6818,97.8524,,2,1,2
223,4721.5,B-1,Vulcan Fm,52.0029,0.8183,0.8063,34.87,2.6954,103.4694,,2,1,2
224,4722.0,B-1,Vulcan Fm,53.2586,0.852,0.8254,35.61,2.6792,98.49600000000001,,2,1,2
225,4722.5,B-1,Vulcan Fm,55.3843,0.8823,0.7761,33.67,2.6430000000000002,92.95700000000001,,2,1,2
226,4723.0,B-1,Vulcan Fm,53.5899,0.983,0.8419,32.2,2.6966,102.5506,,2,1,2
227,4723.5,B-1,Vulcan Fm,61.5754,0.6385,0.6268,32.32,2.6977,99.8637,,2,1,2
228,4724.0,B-1,Vulcan Fm,65.3557,0.8039,0.8406,35.18,2.7109,97.8591,,2,1,2
229,4724.5,B-1,Vulcan Fm,58.2535,0.7459,0.7826,37.07,2.655,104.9817,,2,1,2
230,4725.0,B-1,Vulcan Fm,62.3654,0.7982,0.7791,36.18,2.7103,101.4213,,2,1,2
231,4725.5,B-1,Vulcan Fm,66.6001,0.8697,0.8418,37.96,2.7335,93.5683,,2,1,2
232,4726.0,B-1,Vulcan Fm,54.7793,0.8222,0.8979,42.59,2.7161,93.3871,,2,1,1
233,4726.5,B-1,Vulcan Fm,57.7555,0.7947,0.8312,41.67,2.7632,87.6977,,2,1,1
234,4727.0,B-1,Vulcan Fm,63.2106,0.8796,0.8448,35.42,2.718,88.0386,,2,1,5
235,4727.5,B-1,Vulcan Fm,64.7613,0.8836,0.8986,40.82,2.6710000000000003,97.6107,,2,1,2
236,4728.0,B-1,Vulcan Fm,48.8855,0.8311,0.8451,40.91,2.6157,68.7024,,2,1,2
237,4728.5,B-1,Vulcan Fm,62.0968,0.6908,0.6665,45.78,2.7747,101.5785,,2,1,1
