Depth,Well,Formation,GR,NPHI,RHOB,DTCO,DTSM,Environment
4736,P-2,Plover Fm,24.3581,49.3764,2.825,71.4472,142.4597,1
4736.5,P-2,Plover Fm,27.4735,47.6625,2.8499,84.2792,163.2479,1
4737,P-2,Plover Fm,33.5587,50.1358,2.8302,84.406,166.5671,1
4737.5,P-2,Plover Fm,38.5701,46.1859,2.7131,86.424,165.7663,1
4738,P-2,Plover Fm,40.2266,47.3324,2.7386,82.4779,155.981,1
4738.5,P-2,Plover Fm,42.7189,40.2629,2.7789,82.056,161.2046,1
4739,P-2,Plover Fm,40.599,35.0511,2.7011,78.7931,141.2022,1
4739.5,P-2,Plover Fm,20.863,27.6427,2.7433,56.8124,111.8444,1
4740,P-2,Plover Fm,11.6505,19.5358,2.7347,52.7721,104.1043,1
4740.5,P-2,Plover Fm,9.657,19.9933,2.7389,58.509,104.0134,1
4741,P-2,Plover Fm,21.549,22.8087,2.7727,57.1622,104.3146,1
4741.5,P-2,Plover Fm,17.5637,25.5066,2.7437,58.8808,106.2916,1
4742,P-2,Plover Fm,11.5461,27.1026,2.7176,59.752,111.5301,1
4742.5,P-2,Plover Fm,21.9927,23.0874,2.666,60.3874,106.6728,1
4743,P-2,Plover Fm,11.9804,24.5841,2.709,60.3462,110.9144,1
4743.5,P-2,Plover Fm,10.2209,20.8245,2.8137,60.3653,111.4738,1
4744,P-2,Plover Fm,11.2949,21.6023,2.763,60.4344,112.6079,1
4744.5,P-2,Plover Fm,14.3605,23.3753,2.6805,62.7559,119.3084,1
4745,P-2,Plover Fm,13.445,27.3763,2.6192,69.2527,126.028,1
4745.5,P-2,Plover Fm,14.1515,29.4748,2.6269,74.6695,131.1226,1
4746,P-2,Plover Fm,12.7393,29.8066,2.5685,76.7284,133.2773,1
4746.5,P-2,Plover Fm,11.5355,31.2094,2.6136,74.6413,133.8589,1
4747,P-2,Plover Fm,10.6448,31.9317,2.599,71.3552,134.8727,1
4747.5,P-2,Plover Fm,10.1969,35.0713,2.6519,75.2494,147.7276,1
4748,P-2,Plover Fm,31.4755,46.5202,2.6095,86.4839,160.7942,1
4748.5,P-2,Plover Fm,50.7799,54.8018,2.5549,85.321,156.9877,1
4749,P-2,Plover Fm,40.4831,56.9876,2.5787,84.4277,157.3328,1
4749.5,P-2,Plover Fm,21.1233,57.3896,2.6651,83.4885,157.1402,1
4750,P-2,Plover Fm,22.5469,56.1305,2.9635,84.5064,158.8251,1
4750.5,P-2,Plover Fm,21.5435,53.8526,2.7005,84.9116,165.4204,1
4751,P-2,Plover Fm,20.54,55.0607,2.6224,83.6968,162.6615,1
4751.5,P-2,Plover Fm,24.0983,56.4584,2.7177,87.5966,167.6477,1
4752,P-2,Plover Fm,26.4726,54.4912,2.7046,87.9667,168.0496,1
4752.5,P-2,Plover Fm,21.2402,54.191,2.7046,86.09,165.9017,1
4753,P-2,Plover Fm,22.8446,56.2225,2.708,87.1468,162.5981,1
4753.5,P-2,Plover Fm,17.726,54.57,2.6866,80.8387,156.569,1
4754,P-2,Plover Fm,21.0655,51.6302,2.6969,80.233,156.4918,1
4754.5,P-2,Plover Fm,26.5492,53.5395,2.6126,88.8273,173.3891,1
4755,P-2,Plover Fm,28.7795,54.4023,2.6452,85.878,166.879,1
4755.5,P-2,Plover Fm,32.6517,53.2842,2.5731,86.8253,169.0984,1
4756,P-2,Plover Fm,37.4894,55.8145,2.5981,88.2578,168.5678,1
4756.5,P-2,Plover Fm,41.2003,53.4518,2.3585,90.6645,176.2191,1
4757,P-2,Plover Fm,49.9544,52.1703,2.1909,92.536,184.5354,1
