Depth,Well,Formation,GR,RS,RD,NPHI,RHOB,DTCO,DTSM,Electrofacies
4702.5,P-2,Montara Fm,141.3881,3.6753,3.5058,21.1954,2.6814,-999.25,-999.25,4
4703,P-2,Montara Fm,139.3867,2.1965,0.2866,21.9109,2.7,-999.25,-999.25,4
4703.5,P-2,Montara Fm,137.8527,1.5119,0.2237,20.2813,2.6785,-999.25,-999.25,4
4704,P-2,Montara Fm,125.5505,0.6433,0.106,16.6219,2.732,-999.25,-999.25,4
4704.5,P-2,Montara Fm,110.8732,0.7094,0.1155,8.8217,2.723,-999.25,-999.25,4
4705,P-2,Montara Fm,41.7095,2.4598,0.3675,5.5766,2.7145,-999.25,-999.25,4
4705.5,P-2,Montara Fm,53.4811,4.9546,1.2578,11.0167,2.6818,-999.25,-999.25,4
4706,P-2,Montara Fm,87.106,5.2738,2.4294,18.585,2.7045,63.5098,125.8618,4
4706.5,P-2,Montara Fm,114.0807,14.5054,4.4816,19.8786,2.6881,53.4385,94.4603,4
4707,P-2,Montara Fm,132.6039,42.6378,7.7999,9.4619,2.5873,56.3126,104.6554,4
4707.5,P-2,Montara Fm,76.1229,27.6133,9.8612,7.1419,2.5631,60.5667,112.1985,4
4708,P-2,Montara Fm,81.0515,9.4066,7.3115,17.316,2.5848,70.803,120.3025,4
4708.5,P-2,Montara Fm,127.5966,5.124,4.3375,13.4399,2.4772,75.046,122.4664,4
4709,P-2,Montara Fm,139.8021,7.7452,5.8458,26.204,2.4744,62.8884,103.8287,4
4709.5,P-2,Montara Fm,116.6916,15.5886,16.5117,16.0775,2.6675,63.0548,103.7838,4
4710,P-2,Montara Fm,125.3781,17.3907,19.8483,15.5726,2.6931,69.4372,112.2988,4
4710.5,P-2,Montara Fm,126.3055,13.6265,14.1412,11.96,2.6987,62.964,112.0965,4
4711,P-2,Montara Fm,138.8235,17.3525,18.1923,12.1084,2.6644,62.9759,104.2732,4
4711.5,P-2,Montara Fm,109.994,18.848,20.12,22.6194,2.6812,63.4251,104.7284,4
4712,P-2,Montara Fm,140.9685,19.6384,21.5441,20.6613,2.6335,64.5951,111.8791,4
4712.5,P-2,Montara Fm,126.4982,17.5077,17.1996,18.8924,2.8576,63.8368,114.7385,4
4713,P-2,Montara Fm,114.1675,20.7602,19.6525,26.3593,2.8776,60.4092,104.3631,4
4713.5,P-2,Montara Fm,111.4095,26.573,22.6642,34.4781,2.9068,59.3172,104.3572,4
4714,P-2,Montara Fm,31.4962,34.69,29.84,19.3287,2.7002,61.2628,101.6888,4
4714.5,P-2,Montara Fm,35.559,21.1264,19.8053,19.06,2.5388,64.2465,97.9967,4
4715,P-2,Montara Fm,32.1361,31.8526,29.3488,13.5713,2.5217,57.1052,91.7671,4
4715.5,P-2,Montara Fm,31.3643,72.8411,62.3835,12.1092,2.4847,62.4944,103.8391,4
4716,P-2,Montara Fm,31.741,165.4888,102.4934,12.5337,2.4595,61.3342,113.4048,4
4716.5,P-2,Montara Fm,47.3757,433.8103,61.5639,12.8375,2.4911,59.3838,86.0391,4
4717,P-2,Montara Fm,29.6451,317.2086,73.3957,10.8824,2.4986,61.9354,112.3364,4
4717.5,P-2,Montara Fm,34.2934,64.0471,34.0015,8.7237,2.5003,69.4869,112.8853,4
4718,P-2,Montara Fm,70.6361,17.4596,13.6106,15.176,2.5811,68.0027,120.0698,4
4718.5,P-2,Montara Fm,69.3677,16.9858,18.3253,15.7118,2.5281,72.5108,105.4049,4
4719,P-2,Montara Fm,82.2186,27.8765,30.4715,13.5538,2.5308,68.411,113.8977,4
4719.5,P-2,Montara Fm,72.541,32.8884,41.9006,18.8462,2.5173,66.3961,104.1538,4
4720,P-2,Montara Fm,56.1925,58.3925,76.0647,11.2505,2.5561,61.3463,93.8168,4
4720.5,P-2,Montara Fm,49.7643,59.7259,85.1914,10.6815,2.547,61.0947,112.086,4
4721,P-2,Montara Fm,66.1066,39.9081,61.8675,12.5198,2.5729,64.8406,103.9147,4
4721.5,P-2,Montara Fm,61.148,37.9248,51.5393,13.9566,2.5351,70.9229,113.9432,4
4722,P-2,Montara Fm,53.0812,35.2762,43.3857,13.0115,2.513,69.2021,104.8137,4
4722.5,P-2,Montara Fm,58.2663,32.4102,36.8372,11.2947,2.5627,71.4882,112.2006,4
4723,P-2,Montara Fm,61.3675,28.0303,28.6632,12.8541,2.6872,66.2711,112.7341,4
4723.5,P-2,Montara Fm,83.9675,23.1913,17.3304,14.0676,2.6551,62.1298,104.192,4
4724,P-2,Montara Fm,100.7296,30.868,15.1196,18.1108,2.6113,59.4741,69.2618,4
4724.5,P-2,Montara Fm,62.6688,77.9798,23.0454,15.5867,2.4832,58.973,103.0819,4
4725,P-2,Montara Fm,54.6133,199.3924,48.3326,10.8957,2.5042,62.2767,86.2353,4
4725.5,P-2,Montara Fm,63.1749,667.919,99.9899,11.3008,2.5053,62.9573,95.837,4
4726,P-2,Montara Fm,61.6099,1692.189,71.5483,12.6446,2.515,63.5093,90.0919,4
4726.5,P-2,Montara Fm,52.3178,1766.3076,69.9307,11.4122,2.4851,60.428,98.2192,4
4727,P-2,Montara Fm,53.0401,1209.2346,90.3982,12.2354,2.3499,60.8583,120.0355,4
4727.5,P-2,Montara Fm,48.9607,604.0729,103.8756,11.9199,2.4922,56.8105,105.1144,4
4728,P-2,Montara Fm,48.4995,197.5636,190.6665,13.773,2.4431,68.9264,125.2094,4
4728.5,P-2,Montara Fm,34.8569,136.8303,505.3126,13.8386,2.4537,63.1659,97.9423,4
4729,P-2,Montara Fm,42.3547,137.4921,375.9783,9.5442,2.4424,68.3305,101.4696,4
4729.5,P-2,Montara Fm,45.9056,84.7093,128.861,10.5599,2.5384,65.6684,105.0117,4
4730,P-2,Montara Fm,44.5755,48.4216,63.6666,13.648,2.4006,66.967,111.0412,4
4730.5,P-2,Montara Fm,18.6297,75.3431,100.9908,13.4642,2.4689,69.0145,96.7033,4
4731,P-2,Montara Fm,12.2895,253.2589,274.9105,9.1812,2.3736,57.4868,89.7658,4
4731.5,P-2,Montara Fm,15.8272,302.9578,187.035,7.7461,2.473,64.3566,105.4331,4
4732,P-2,Montara Fm,26.0648,69.4006,56.1187,11.7018,2.5318,65.0886,128.0776,4
